id,industry,location,funding_rounds,total_funding_inr,team_size,competitor_density,founder_experience_years,has_patent,success
9484,Logistics,Karnataka - Ballari (Bellary),4,108981095.72148368,16,14,7,0,0
9485,DeepTech,Lakshadweep (UT) - Chethlath,2,147488032.3700006,30,18,7,1,0
9486,Fashion,Haryana - Yamunanagar,1,68437110.06038679,5,13,22,0,1
9487,E-commerce,Uttar Pradesh - Sultanpur,3,74490303.22999805,35,14,6,1,0
9488,AgriTech,Arunachal Pradesh - Lohit,4,252258011.29462385,24,9,18,0,0
9489,Fashion,Assam - Nagaon,2,134260677.22719854,59,8,22,0,1
9490,Healthcare,Andhra Pradesh - Srikakulam,4,117598847.36010978,36,5,11,0,0
9491,Travel & Tourism,Madhya Pradesh - Bhind,1,12436193.496948343,29,23,2,0,0
9492,Fashion,Gujarat - Kheda (Nadiad),3,206344150.4406951,32,7,10,0,1
9493,EdTech,Madhya Pradesh - Hoshangabad,3,36777360.10579179,43,16,12,0,0
9494,Manufacturing,Maharashtra - Hingoli,3,122686792.35746227,34,10,15,0,1
9495,Food & Beverage,West Bengal - Bankura,1,19577367.517893516,19,22,8,1,0
9496,Automotive,Jharkhand - Dhanbad,5,372798123.7845279,6,3,15,0,1
9497,FinTech,Uttar Pradesh - Jaunpur,3,39101916.267698854,10,24,4,1,0
9498,PropTech,Gujarat - Dangs (Ahwa),5,68837754.76037809,21,17,7,0,1
9499,AgriTech,Jammu and Kashmir - Samba,3,172889164.94551513,39,10,11,0,0
9500,DeepTech,Odisha - Bargarh,5,102083422.79067871,52,11,2,0,1
9501,AI/ML,Haryana - Panipat,2,29854164.27404071,10,20,2,1,0
9502,PropTech,Odisha - Sambalpur,2,35228906.28016732,19,10,12,0,0
9503,SaaS,Arunachal Pradesh - Tirap,3,149076676.8776471,57,18,2,0,0
9504,FinTech,Manipur - Imphal West,4,86787765.54594049,16,21,23,0,1
9505,Web3,Bihar - Munger (Monghyr),4,133171543.63677603,16,23,8,1,1
9506,Logistics,Tripura - Gomati,1,68730085.78955461,15,1,22,0,1
9507,Travel & Tourism,Jammu and Kashmir - Doda,2,36350864.575758316,36,4,0,0,0
9508,Automotive,Bihar - Arwal,2,133941607.32557935,41,3,5,1,1
9509,Entertainment,Kerala - Ernakulam,4,252620398.630212,52,20,18,0,1
9510,Food & Beverage,Jammu and Kashmir - Srinagar,3,202014626.5909775,44,6,15,0,0
9511,Logistics,Gujarat - Dangs (Ahwa),1,31026298.34005653,37,6,0,0,0
9512,Manufacturing,Karnataka - Uttara Kannada (Karwar),2,80854328.5298129,48,17,9,1,1
9513,Web3,Tamil Nadu - Madurai,1,58025448.43617123,57,19,1,0,0
9514,Retail,Telangana - Jagtial,2,15614086.256613128,43,17,2,1,0
9515,E-commerce,Rajasthan - Sawai Madhopur,5,273910860.257428,21,17,6,0,0
9516,D2C Brands,Madhya Pradesh - Gwalior,5,70035645.20233384,12,17,5,0,0
9517,Manufacturing,Telangana - Kamareddy,1,26605562.394349217,58,3,14,0,0
9518,D2C Brands,Punjab - Rupnagar,4,262935270.27509904,42,14,1,0,0
9519,Food & Beverage,Jharkhand - Giridih,4,210615188.8489285,55,2,20,0,1
9520,PropTech,Madhya Pradesh - Betul,2,103278513.54946926,18,4,16,0,0
9521,CleanEnergy,Tripura - South Tripura,5,110092409.4699298,42,23,18,1,1
9522,Healthcare,Madhya Pradesh - Damoh,5,275454056.5294323,26,18,13,0,1
9523,DeepTech,Tamil Nadu - Dharmapuri,1,14877592.73348486,30,2,16,0,1
9524,AgriTech,Madhya Pradesh - Jabalpur,1,77359594.76477095,24,12,18,0,1
9525,PropTech,Gujarat - Narmada (Rajpipla),4,95808984.81118193,10,15,1,0,0
9526,DeepTech,Chhattisgarh - Bastar,4,268024353.07888523,57,13,15,0,1
9527,Healthcare,Andhra Pradesh - Visakhapatnam,4,296045393.87185764,26,11,19,0,1
9528,Travel & Tourism,Haryana - Sirsa,3,53653169.304383285,42,7,20,0,1
9529,Retail,Jharkhand - Ramgarh,5,28656032.07729151,24,9,15,1,1
9530,AgriTech,Jharkhand - West Singhbhum,5,352860582.00764173,55,15,2,0,1
9531,E-commerce,Uttar Pradesh - Shahjahanpur,1,62298972.60852301,3,3,13,1,1
9532,Web3,Meghalaya - West Khasi Hills,5,82851024.54724254,46,10,20,0,1
9533,AI/ML,Rajasthan - Alwar,1,67278318.7759465,56,8,6,0,0
9534,D2C Brands,Assam - Udalguri,3,197355688.8223874,2,6,9,0,0
9535,AgriTech,Uttar Pradesh - Kushinagar (Padrauna),4,158382242.29948488,39,14,8,0,0
9536,PropTech,Telangana - Jangaon,3,228035264.25896436,7,6,7,0,0
9537,Entertainment,Tripura - Unakoti,4,194632790.0109214,49,19,14,1,1
9538,EdTech,Telangana - Medak,4,152864023.3381225,45,9,11,0,0
9539,Manufacturing,Assam - Baksa,1,5992654.470751347,16,9,5,0,1
9540,Travel & Tourism,Tamil Nadu - Nilgiris,4,305833290.8647561,8,20,14,0,1
9541,E-commerce,Uttar Pradesh - Hapur (Panchsheel Nagar),3,43882933.26880814,3,16,14,1,1
9542,Healthcare,Punjab - Gurdaspur,2,54428272.98147935,31,13,24,0,1
9543,PropTech,Telangana - Jayashankar Bhoopalpally,1,59707777.72148661,30,13,7,0,1
9544,PropTech,Jharkhand - Lohardaga,4,21603783.42367604,13,12,11,1,1
9545,D2C Brands,Arunachal Pradesh - Papum Pare,4,182776664.95022178,53,22,19,1,1
9546,Healthcare,Jharkhand - Simdega,5,84590249.17363837,35,21,1,0,0
9547,Entertainment,Jharkhand - Palamu,1,6690376.907767985,31,20,8,1,0
9548,Travel & Tourism,Meghalaya - Ri Bhoi,1,53124939.63971452,37,2,21,0,0
9549,Retail,Punjab - Patiala,3,150670101.41412342,36,4,7,0,0
9550,FinTech,Karnataka - Ramanagara,2,120144206.75030445,3,7,7,0,0
9551,Logistics,Andhra Pradesh - Nellore,3,154099850.48430717,51,19,3,1,0
9552,Healthcare,Punjab - Moga,3,114447039.07674108,4,3,4,0,1
9553,AgriTech,Haryana - Panipat,3,122689616.22980401,43,11,16,0,1
9554,EdTech,Telangana - Warangal (Rural),2,43018435.32743085,13,19,24,0,0
9555,SaaS,Uttar Pradesh - Gonda,3,33837572.885336824,5,14,6,0,0
9556,Travel & Tourism,Manipur - Thoubal,1,69563830.94764923,56,17,0,1,0
9557,Gaming,Uttar Pradesh - Hapur (Panchsheel Nagar),2,113697004.43638839,53,5,9,0,0
9558,AI/ML,Assam - Kamrup,4,56875358.752037846,8,14,13,0,1
9559,D2C Brands,Jharkhand - Dumka,5,124088805.15416148,21,7,18,1,1
9560,Web3,Jammu and Kashmir - Baramulla,5,348710695.3105687,20,12,8,0,0
9561,Retail,Rajasthan - Dholpur,1,76987363.26496524,9,17,10,0,0
9562,AgriTech,Chhattisgarh - Balrampur,5,321678589.9482652,4,20,11,1,0
9563,PropTech,Madhya Pradesh - Rajgarh,5,238733485.59617427,28,22,0,0,1
9564,PropTech,Assam - Udalguri,5,350930238.44078565,16,21,21,0,1
9565,SaaS,Andhra Pradesh - Visakhapatnam,4,208042989.74029228,9,18,20,0,1
9566,Food & Beverage,Haryana - Sirsa,5,287279881.5628197,19,1,19,0,1
9567,Logistics,Himachal Pradesh - Sirmaur (Sirmour),3,201063623.4451467,30,11,16,1,1
9568,Gaming,Bihar - Araria,1,31548586.989786115,47,4,22,0,1
9569,AgriTech,Madhya Pradesh - Chhatarpur,1,63840390.868567474,52,12,0,0,1
9570,Food & Beverage,Assam - Jorhat,1,20521277.77235754,37,5,0,0,0
9571,Retail,Arunachal Pradesh - Papum Pare,4,78275510.96515983,4,15,17,0,0
9572,Travel & Tourism,Rajasthan - Jalore,4,263401637.99550846,55,20,8,0,1
9573,CleanEnergy,Kerala - Wayanad,5,236424568.3636172,10,3,16,0,1
9574,E-commerce,Maharashtra - Parbhani,3,108126708.23214927,11,15,23,0,1
9575,DeepTech,Chhattisgarh - Korea (Koriya),5,221294379.08273068,41,8,12,1,0
9576,Retail,Punjab - Sangrur,1,78344008.34300289,21,22,16,0,1
9577,Entertainment,Jammu and Kashmir - Kathua,3,216188786.4024084,3,11,10,0,0
9578,CleanEnergy,Madhya Pradesh - Alirajpur,1,43068242.68377512,59,12,16,0,1
9579,Web3,Odisha - Nayagarh,3,138117676.75048214,2,3,8,0,1
9580,Entertainment,Sikkim - South Sikkim,2,102134755.92331198,28,6,23,0,0
9581,Retail,Madhya Pradesh - Shahdol,4,257247719.7161532,5,8,13,0,0
9582,Gaming,Puducherry (UT) - Yanam,4,282141083.7591449,49,7,0,1,0
9583,Fashion,Meghalaya - West Jaintia Hills,1,15989673.851112975,38,17,22,1,1
9584,SaaS,Punjab - Moga,1,52114132.77596573,33,16,7,0,1
9585,Fashion,Odisha - Nabarangpur,2,44078371.845525034,19,22,1,0,0
9586,Fashion,Tamil Nadu - Tiruvarur,5,258167447.33805072,15,17,3,0,1
9587,AgriTech,Uttar Pradesh - Firozabad,3,53544274.992210366,46,13,17,0,0
9588,FinTech,Kerala - Kozhikode,2,131194829.3498598,49,4,12,0,1
9589,Manufacturing,Uttar Pradesh - Lucknow,2,109140037.44962695,16,10,13,1,1
9590,PropTech,Bihar - Khagaria,1,69949689.79455277,52,16,21,0,1
9591,AgriTech,Maharashtra - Gadchiroli,1,75832838.77876042,5,19,20,0,1
9592,FinTech,Lakshadweep (UT) - Kadmath,5,375222730.8434424,20,7,10,0,1
9593,CleanEnergy,Uttar Pradesh - Allahabad,5,79436292.48692735,25,18,10,0,1
9594,PropTech,Madhya Pradesh - Ashoknagar,1,33261519.168046713,31,13,20,1,0
9595,Manufacturing,Haryana - Yamunanagar,4,164928573.536626,14,4,7,1,0
9596,Automotive,Madhya Pradesh - Satna,5,320855705.9805974,12,21,11,0,1
9597,Manufacturing,Kerala - Ernakulam,2,12222186.001150183,29,18,0,0,0
9598,D2C Brands,Punjab - Sangrur,1,74408414.46388774,51,16,15,0,1
9599,AgriTech,Delhi (NCT) - South East Delhi,3,106626911.6400632,58,18,17,0,1
9600,PropTech,Sikkim - East Sikkim,3,156998902.79355663,12,16,0,1,1
9601,Entertainment,Arunachal Pradesh - Papum Pare,4,314184177.84909713,55,22,19,0,1
9602,Travel & Tourism,Telangana - Adilabad,1,71199321.53194796,2,24,17,1,0
9603,AI/ML,Telangana - Bhadradri Kothagudem,2,64327094.46143726,48,23,9,0,0
9604,AgriTech,Assam - Cachar,4,165353515.3132925,57,22,10,0,0
9605,Travel & Tourism,Chhattisgarh - Rajnandgaon,2,125491636.1733394,43,24,22,1,1
9606,Web3,Chhattisgarh - Dhamtari,3,182300044.78645402,55,21,15,1,1
9607,Fashion,Odisha - Angul,2,115719976.06689198,5,9,4,0,0
9608,Travel & Tourism,Assam - Dibrugarh,3,17405862.256546833,39,2,20,0,1
9609,Logistics,Himachal Pradesh - Una,5,99631059.58279751,35,6,0,1,1
9610,EdTech,Telangana - Suryapet,3,64877539.15414955,50,23,17,0,1
9611,AgriTech,Manipur - Senapati,3,71388617.20776328,13,21,20,0,0
9612,Healthcare,Uttar Pradesh - Rampur,4,48855523.75100179,55,6,6,1,0
9613,Healthcare,Karnataka - Belagavi (Belgaum),4,261981615.8838538,25,6,0,0,1
9614,E-commerce,Nagaland - Kiphire,1,30597245.007795744,38,14,22,0,1
9615,Travel & Tourism,Uttarakhand - Champawat,1,63169096.36011047,57,11,1,1,1
9616,CleanEnergy,Maharashtra - Jalna,3,224593037.1205481,33,17,1,0,0
9617,Healthcare,Kerala - Malappuram,5,142384083.63965178,20,4,24,0,1
9618,Retail,Gujarat - Narmada (Rajpipla),1,39032878.785886005,30,4,15,0,0
9619,Logistics,Uttarakhand - Nainital,3,34690331.887140244,39,19,7,1,0
9620,FinTech,Manipur - Churachandpur,4,108452247.95663789,50,24,9,0,0
9621,D2C Brands,Madhya Pradesh - Satna,1,45968194.82224518,30,22,19,0,0
9622,Entertainment,Gujarat - Devbhoomi Dwarka,1,18514105.254059497,20,23,15,0,1
9623,D2C Brands,Tamil Nadu - Karur,3,135825578.66330206,21,16,4,0,0
9624,DeepTech,Arunachal Pradesh - Lower Siang,3,85398288.44011837,54,8,24,0,1
9625,Fashion,Bihar - Katihar,2,158507216.57736805,4,19,3,0,1
9626,AgriTech,Gujarat - Panchmahal (Godhra),2,66356818.18007402,41,20,12,0,1
9627,DeepTech,Uttar Pradesh - Muzaffarnagar,5,39646085.1821136,6,1,7,1,1
9628,E-commerce,Bihar - Aurangabad,1,40471577.59519253,24,4,12,0,0
9629,Travel & Tourism,Andhra Pradesh - Kurnool,2,60103307.57129585,6,12,4,0,0
9630,Logistics,Haryana - Mahendragarh,3,98256407.04890203,31,21,16,0,0
9631,Food & Beverage,Rajasthan - Jhunjhunu,1,32790018.190931406,33,19,14,0,1
9632,Gaming,Assam - Sonitpur,2,142175522.20269156,25,2,6,1,1
9633,Automotive,Andhra Pradesh - YSR Kadapa,5,211849213.1511283,50,6,9,1,0
9634,EdTech,Himachal Pradesh - Bilaspur,5,119815381.26360384,52,20,2,1,0
9635,Healthcare,Assam - Charaideo,5,322188836.3525324,52,22,22,0,1
9636,D2C Brands,Gujarat - Junagadh,5,191292426.47600776,59,3,23,1,1
9637,DeepTech,Arunachal Pradesh - Namsai,3,47704999.486863516,43,3,15,1,1
9638,Entertainment,Rajasthan - Nagaur,5,399436870.58799857,36,1,19,0,1
9639,D2C Brands,Uttar Pradesh - Deoria,4,28207338.98112278,33,9,14,0,0
9640,Healthcare,Uttar Pradesh - Maharajganj,5,290962708.099123,55,7,5,1,0
9641,Automotive,Maharashtra - Sindhudurg,2,137133472.47386312,58,9,9,0,1
9642,Travel & Tourism,Odisha - Gajapati,1,31535998.208986804,46,1,6,0,0
9643,Logistics,Jammu and Kashmir - Jammu,2,33601508.52902288,49,8,23,0,1
9644,E-commerce,Uttar Pradesh - Azamgarh,1,37741849.16988141,45,18,18,0,0
9645,Food & Beverage,Bihar - Gaya,3,123557362.46229756,23,3,22,0,1
9646,Automotive,Telangana - Suryapet,1,79977763.74901995,22,17,4,0,0
9647,Food & Beverage,Uttarakhand - Udham Singh Nagar,4,25839701.58892081,29,7,6,0,0
9648,Fashion,Tripura - Unakoti,5,270956478.9492825,50,11,21,0,1
9649,FinTech,Meghalaya - West Garo Hills,2,130667301.60748513,35,5,20,1,1
9650,E-commerce,Meghalaya - South Garo Hills,1,51342808.15229015,17,13,2,0,0
9651,D2C Brands,Maharashtra - Nanded,2,104489714.62134637,12,11,1,1,0
9652,Logistics,Jharkhand - Bokaro,5,353241573.2930441,34,3,18,0,1
9653,FinTech,Uttarakhand - Rudraprayag,3,142163349.91866443,45,13,1,0,0
9654,E-commerce,Bihar - Muzaffarpur,5,355594506.75592476,39,20,18,0,1
9655,E-commerce,Maharashtra - Mumbai Suburban,3,62291820.45340028,20,6,17,0,1
9656,EdTech,Delhi (NCT) - New Delhi,2,87418395.78550579,29,22,0,0,0
9657,Entertainment,Uttar Pradesh - Chandauli,3,22559108.565210856,30,15,8,0,0
9658,FinTech,Rajasthan - Jhalawar,3,195783785.26487365,38,2,20,0,1
9659,Healthcare,Jharkhand - East Singhbhum,3,189889025.25749624,55,23,15,0,1
9660,Healthcare,Punjab - Tarn Taran,3,136283978.37931406,54,2,24,1,1
9661,Travel & Tourism,Meghalaya - East Khasi Hills,3,104060203.0743873,4,14,7,1,0
9662,Manufacturing,Gujarat - Valsad,1,32758407.25282682,19,2,22,0,1
9663,Fashion,Haryana - Mahendragarh,3,60249562.45735531,19,5,21,1,1
9664,FinTech,Uttar Pradesh - Azamgarh,3,111275092.03443241,13,16,10,0,1
9665,PropTech,Assam - Karbi Anglong,5,138965974.39291605,19,8,15,0,1
9666,E-commerce,Uttar Pradesh - Muzaffarnagar,5,241626855.85800028,33,8,19,0,1
9667,D2C Brands,Gujarat - Surendranagar,5,319931241.7907789,43,11,9,0,1
9668,Web3,Kerala - Alappuzha,3,171180749.2909933,37,13,22,1,0
9669,Healthcare,Maharashtra - Chandrapur,5,217733222.1741869,53,15,15,0,1
9670,D2C Brands,Assam - Nagaon,1,76145277.14006335,20,4,12,1,1
9671,EdTech,Assam - Karimganj,2,39598588.58471136,57,23,6,0,0
9672,AgriTech,Jharkhand - Garhwa,5,264989902.43770498,5,8,0,0,1
9673,D2C Brands,Goa - South Goa,5,58015795.577172264,57,16,13,0,1
9674,Web3,Maharashtra - Ahmednagar,1,55475982.61533961,12,16,8,1,1
9675,E-commerce,Arunachal Pradesh - East Kameng,4,237600748.9049714,4,24,13,0,0
9676,AI/ML,Gujarat - Rajkot,4,254785084.80215526,28,21,3,1,1
9677,AgriTech,Sikkim - North Sikkim,1,54781987.86289041,48,10,22,0,0
9678,Web3,Manipur - Churachandpur,5,70983187.82390493,17,2,8,0,1
9679,Automotive,Odisha - Kendujhar (Keonjhar),2,16643872.297032844,45,18,1,1,1
9680,E-commerce,Chhattisgarh - Raipur,5,292848103.5998287,19,21,23,0,1
9681,FinTech,Jammu and Kashmir - Jammu,1,64867446.91606374,31,16,10,0,0
9682,DeepTech,Jharkhand - East Singhbhum,1,7448080.933293442,25,4,19,0,1
9683,Entertainment,Meghalaya - South West Garo Hills ,3,48734776.82535806,7,20,13,0,0
9684,Manufacturing,Madhya Pradesh - Sagar,1,64271487.93288512,48,19,3,0,0
9685,Travel & Tourism,Madhya Pradesh - Burhanpur,3,232761350.6363057,35,8,2,0,0
9686,Manufacturing,Telangana - Warangal (Urban),1,44040243.87020507,56,20,9,0,1
9687,Travel & Tourism,Andhra Pradesh - East Godavari,3,49495153.78116284,13,23,19,0,1
9688,Manufacturing,Odisha - Sundargarh,3,87284254.18221283,43,8,24,0,1
9689,Logistics,Bihar - Jehanabad,5,318033688.8826757,24,14,0,0,0
9690,PropTech,Assam - Dhubri,3,137225756.14242226,37,16,8,0,0
9691,FinTech,Gujarat - Bharuch,4,37338555.83699028,41,6,12,1,0
9692,Retail,Rajasthan - Sri Ganganagar,1,28131446.716173835,16,18,10,0,1
9693,AI/ML,Bihar - Sheikhpura,2,122918663.45500751,52,8,9,1,1
9694,Travel & Tourism,Maharashtra - Satara,1,29433590.4421571,17,19,24,0,1
9695,Logistics,Gujarat - Narmada (Rajpipla),5,187122925.73103416,46,4,0,0,1
9696,Entertainment,Goa - North Goa,5,364393477.4911821,58,4,12,0,1
9697,AI/ML,Chhattisgarh - Korba,3,236544671.32781047,48,7,8,0,1
9698,CleanEnergy,Chhattisgarh - Bijapur,5,308950936.6488538,15,8,21,1,1
9699,FinTech,Chhattisgarh - Rajnandgaon,5,115047169.64619936,16,9,7,0,0
9700,FinTech,Bihar - Araria,1,23235958.41722966,13,1,12,0,1
9701,EdTech,Tripura - Khowai,4,111279783.30523235,44,17,23,1,0
9702,AI/ML,Uttar Pradesh - Ghaziabad,4,68166567.61803311,54,7,7,0,1
9703,PropTech,Tamil Nadu - Coimbatore,3,55237319.177594796,36,20,23,0,1
9704,PropTech,Karnataka - Ramanagara,5,120996106.9771846,26,10,16,0,1
9705,Manufacturing,Andhra Pradesh - Krishna,5,272457354.78143233,15,24,0,0,0
9706,FinTech,Chhattisgarh - Janjgir-Champa,4,203740778.68612513,3,21,22,1,1
9707,Retail,Uttar Pradesh - Faizabad,3,91702891.37050232,19,1,11,1,1
9708,DeepTech,Jammu and Kashmir - Poonch,5,98750322.24968152,36,18,11,0,1
9709,Food & Beverage,Gujarat - Dangs (Ahwa),3,155404927.58889768,10,14,24,0,1
9710,Food & Beverage,Kerala - Ernakulam,1,14815514.91998605,12,19,10,0,0
9711,Web3,Haryana - Faridabad,5,79842383.61407971,27,18,23,1,1
9712,Retail,Tamil Nadu - Karur,5,168762540.95515642,4,13,10,0,1
9713,E-commerce,Jammu and Kashmir - Kargil,5,237763802.4546703,6,7,15,0,1
9714,Fashion,Gujarat - Anand,4,238486634.90209943,33,2,4,0,1
9715,DeepTech,Delhi (NCT) - North Delhi,4,226094089.97054386,42,7,23,0,1
9716,SaaS,Madhya Pradesh - Vidisha,5,166919447.9845416,11,10,8,0,0
9717,Travel & Tourism,Chhattisgarh - Raigarh,5,270494628.23030996,39,17,22,1,0
9718,Entertainment,Madhya Pradesh - Rajgarh,1,20851013.057069376,7,21,9,0,1
9719,Retail,Delhi (NCT) - West Delhi,1,42030873.5334979,12,5,10,0,1
9720,Retail,Karnataka - Raichur,3,153437538.34867775,18,9,2,1,1
9721,FinTech,Odisha - Koraput,3,182491318.66759253,3,4,24,0,1
9722,SaaS,Jammu and Kashmir - Bandipore,4,43876749.95466748,42,20,20,0,0
9723,FinTech,Mizoram - Mamit,2,25171190.789190583,25,22,10,0,1
9724,EdTech,Delhi (NCT) - South East Delhi,1,10538937.613842502,51,15,7,0,0
9725,E-commerce,Karnataka - Hassan,3,137955531.09600955,6,14,0,0,0
9726,CleanEnergy,Assam - Nalbari,1,47754101.55455065,22,18,16,1,0
9727,Retail,Tripura - Sepahijala,1,5826154.157328476,7,10,15,1,1
9728,Fashion,Maharashtra - Chandrapur,2,108505133.17455237,5,16,15,0,1
9729,D2C Brands,Manipur - Bishnupur,1,62249338.42501398,10,22,2,1,0
9730,CleanEnergy,Uttar Pradesh - Shahjahanpur,2,27491496.164433517,6,23,14,0,0
9731,FinTech,Chhattisgarh - Dantewada (South Bastar),2,60599067.66315,5,20,1,0,0
9732,EdTech,Punjab - Ludhiana,1,68747909.64664018,10,10,20,0,0
9733,Travel & Tourism,Uttarakhand - Bageshwar,1,56540005.506774604,19,9,10,0,0
9734,Gaming,Madhya Pradesh - Harda,3,83544840.49401534,44,16,8,1,0
9735,Automotive,Tamil Nadu - Tiruvallur,1,60668215.08743361,17,5,24,1,1
9736,DeepTech,Karnataka - Raichur,1,71545065.17533238,3,19,23,0,1
9737,Healthcare,Chhattisgarh - Raipur,1,28199004.232206095,30,1,4,0,1
9738,SaaS,Lakshadweep (UT) - Kilthan,3,168963831.84660062,49,24,2,0,1
9739,EdTech,Telangana - Sangareddy,2,24012915.58202961,52,1,21,0,1
9740,FinTech,West Bengal - Kalimpong,3,28203652.1454002,43,24,7,0,1
9741,EdTech,Bihar - Banka,1,48969299.055783585,37,5,5,0,1
9742,AI/ML,Madhya Pradesh - Mandsaur,5,209659013.47464517,13,7,6,0,1
9743,SaaS,Bihar - Saran,1,65756621.19570946,59,24,11,0,1
9744,FinTech,Kerala - Kozhikode,3,190563733.6139391,42,15,22,0,1
9745,Healthcare,Gujarat - Rajkot,3,79506513.22970092,46,11,6,0,1
9746,CleanEnergy,Bihar - Buxar,4,173678722.0271275,38,12,8,1,0
9747,FinTech,Delhi (NCT) - Shahdara,5,308416208.2891903,35,17,8,0,0
9748,FinTech,Arunachal Pradesh - East Siang,3,75964365.62316908,36,17,0,0,0
9749,Gaming,Gujarat - Vadodara,2,64294201.05588259,41,23,2,0,0
9750,DeepTech,Assam - Dibrugarh,1,9489761.038425835,7,17,4,0,1
9751,PropTech,Odisha - Koraput,2,29573289.24449502,38,4,10,0,0
9752,D2C Brands,Bihar - Nawada,3,152299579.3956032,37,22,3,0,0
9753,Retail,Karnataka - Chamarajanagar,3,126769022.76918006,21,2,11,0,1
9754,Fashion,Arunachal Pradesh - Longding,2,35288598.70493293,17,10,0,0,0
9755,DeepTech,Uttar Pradesh - Mahoba,2,11092180.397249265,9,5,0,1,1
9756,Food & Beverage,Telangana - Kamareddy,4,70709941.94659147,45,10,12,0,1
9757,Logistics,Madhya Pradesh - Tikamgarh,1,61222996.59917741,23,10,19,0,0
9758,FinTech,West Bengal - Darjeeling,2,24052346.198459662,6,11,4,1,0
9759,Food & Beverage,Chhattisgarh - Surguja,1,35183702.630652644,6,10,19,0,1
9760,Web3,Maharashtra - Kolhapur,5,114545885.88511798,55,11,1,1,0
9761,E-commerce,Uttar Pradesh - Mathura,3,138614247.99698716,46,6,20,0,1
9762,Entertainment,Karnataka - Hassan,2,86732850.22230463,12,21,18,1,0
9763,Web3,Gujarat - Bhavnagar,5,393607576.9806756,44,10,6,0,1
9764,Food & Beverage,Maharashtra - Nanded,3,188898016.75561374,20,8,15,0,0
9765,Entertainment,Rajasthan - Sirohi,4,301498869.53619695,40,11,3,0,0
9766,PropTech,Haryana - Rewari,3,145040610.77903587,18,20,17,0,0
9767,Fashion,Karnataka - Dharwad,2,120667204.71825714,38,24,10,0,0
9768,Manufacturing,Punjab - Patiala,5,360653715.3195173,39,19,23,1,1
9769,E-commerce,Odisha - Gajapati,5,40401625.23126837,19,7,15,0,0
9770,SaaS,Assam - Jorhat,5,368293816.4412394,51,21,9,0,1
9771,FinTech,Uttar Pradesh - Sonbhadra,3,62648318.32938576,10,12,1,0,1
9772,Fashion,Rajasthan - Rajsamand,1,57876207.88697335,51,21,22,0,1
9773,Web3,Uttar Pradesh - Aligarh,1,63000567.155878074,52,6,23,1,0
9774,Retail,Bihar - Nawada,3,39598350.05872626,18,12,9,1,1
9775,SaaS,Odisha - Cuttack,2,152964986.2849571,42,5,2,0,0
9776,CleanEnergy,Madhya Pradesh - Jabalpur,3,223475812.42991942,34,13,21,0,1
9777,PropTech,Assam - Karbi Anglong,1,54091458.5292378,21,17,11,0,0
9778,D2C Brands,Punjab - Mansa,3,49949057.19320911,56,9,19,0,1
9779,Entertainment,Uttar Pradesh - Baghpat,5,237268960.20850924,19,20,1,0,0
9780,Automotive,Andhra Pradesh - Guntur,2,61621726.41028582,25,21,7,1,0
9781,AgriTech,Uttar Pradesh - Mau,2,149614650.3713954,14,17,17,0,1
9782,FinTech,Karnataka - Kolar,4,141996723.0549,41,19,8,0,1
9783,D2C Brands,Karnataka - Uttara Kannada (Karwar),3,171093604.45635155,29,19,24,0,1
9784,CleanEnergy,Bihar - Bhagalpur,5,263880663.55288947,47,8,10,0,1
9785,DeepTech,Delhi (NCT) - Central Delhi,3,75978436.8346971,4,8,23,0,1
9786,Gaming,Uttar Pradesh - Farrukhabad,4,180649052.5507187,37,15,2,1,1
9787,Food & Beverage,Maharashtra - Pune,4,142994048.7829796,12,7,7,0,0
9788,EdTech,Himachal Pradesh - Kangra,3,99291249.24339478,40,6,4,1,0
9789,Web3,Jharkhand - Seraikela-Kharsawan,3,209401227.79569376,22,16,14,0,1
9790,FinTech,Karnataka - Bagalkot,3,46445629.85050437,38,8,9,1,1
9791,SaaS,Punjab - Tarn Taran,1,35779546.092349336,3,3,13,0,1
9792,Entertainment,Tamil Nadu - Kanchipuram,4,22025735.982120425,7,10,4,1,0
9793,Manufacturing,Haryana - Sonipat,2,49283548.56649887,53,10,17,0,1
9794,DeepTech,Madhya Pradesh - Narsinghpur,1,51631008.79622033,6,24,11,0,1
9795,Food & Beverage,Assam - Kamrup,5,57820852.4193176,48,19,2,0,1
9796,Web3,Telangana - Nirmal,2,50677178.933765166,44,2,7,1,0
9797,Food & Beverage,Madhya Pradesh - Sehore,2,142034323.1426028,33,9,13,0,0
9798,AI/ML,Rajasthan - Dungarpur,2,113775302.19876727,38,1,0,0,1
9799,Travel & Tourism,Madhya Pradesh - Singrauli,4,41086625.81251989,51,10,3,0,0
9800,AI/ML,Assam - Dibrugarh,5,397142429.3705785,41,18,21,0,1
9801,Healthcare,Maharashtra - Gondia,1,75885619.48941447,12,23,24,0,1
9802,DeepTech,Manipur - Kangpokpi,5,78133698.00809225,18,1,7,0,0
9803,E-commerce,Delhi (NCT) - North West  Delhi,1,74140133.06561299,15,12,20,0,1
9804,Entertainment,Jharkhand - Ranchi,4,184983126.11681995,3,5,12,1,1
9805,Fashion,Assam - Biswanath,5,373517888.1558689,40,11,15,0,1
9806,Healthcare,Assam - Dibrugarh,2,155207615.3979986,56,20,15,0,1
9807,Gaming,Uttar Pradesh - Amroha (J.P. Nagar),5,285086338.3701488,19,14,22,0,1
